frame,edge_density,motion_score,activity_index,mean_brightness,color_variance,video_name,source_file
frame_000599.jpg,0.128328,0.021331,0.149659,87.56,47.81,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000600.jpg,0.125401,0.098904,0.224305,87.4,47.25,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000601.jpg,0.125934,0.02339,0.149324,87.41,47.32,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000602.jpg,0.126091,0.024067,0.150158,87.47,47.32,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000603.jpg,0.12621,0.017383,0.143593,87.44,47.34,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000604.jpg,0.126168,0.034321,0.160489,87.49,47.41,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000605.jpg,0.126567,0.032228,0.158795,87.51,47.44,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000606.jpg,0.126274,0.01774,0.144013,87.5,47.37,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000607.jpg,0.125751,0.03546,0.161211,87.58,47.28,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000608.jpg,0.125572,0.024063,0.149635,87.55,47.28,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000609.jpg,0.125742,0.036818,0.16256,87.57,47.27,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000610.jpg,0.125557,0.040037,0.165594,87.54,47.23,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000611.jpg,0.125417,0.023639,0.149057,87.52,47.19,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000612.jpg,0.125233,0.025507,0.150739,87.54,47.17,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000613.jpg,0.125319,0.045935,0.171254,87.56,47.15,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
frame_000614.jpg,0.124509,0.030955,0.155464,87.58,47.13,063709-00070-M-0002,063709-00070-M-0002_activity_results.csv
